date,predicted_price
2017-12-02,10810.77140954359
2017-12-03,10985.093964172069
2017-12-04,11419.429188545655
2017-12-05,11714.724878199944
2017-12-06,11775.358756153952
2017-12-07,13270.779339373124
2017-12-08,15918.954390693363
2017-12-09,16277.988210170675
2017-12-10,15414.2375557566
2017-12-11,15112.185415697873
2017-12-12,16309.022789806702
2017-12-13,16717.51775832337
2017-12-14,16873.430626962454
2017-12-15,17040.163072721745
2017-12-16,17825.394797815898
2017-12-17,19307.545726132776
2017-12-18,19622.708480489702
2017-12-19,19011.03324609376
2017-12-20,17874.441745641616
2017-12-21,16684.358199823655
2017-12-22,16158.286121026686
2017-12-23,15494.100821704184
2017-12-24,15248.565886927376
2017-12-25,14164.639755694105
2017-12-26,14168.08886322281
2017-12-27,15444.721632822846
